objectID,title,artistDisplayName,artistNationality,artistDisplayBio,objectDate,objectBeginDate,objectEndDate,department,classification,medium,culture,country,region,repository,objectURL,period,group,clean_title,title_length,happiness_score
282114,Ein Gedichte fur ein Buch,Stephan Köhler,German,German,1996,1996,1996,Photographs,Books,Handmade book,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282114,1951-2000,European,ein gedichte fur ein buch,5,5.1000000000000005
282123,"White Horse, Donegal, Ireland",Alen MacWeeney,Irish,"Irish, born 1939",1965–66,1965,1966,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282123,1951-2000,European,white horse donegal ireland,4,6.353333333333334
282124,"Chimney Sweep and Children, Ireland",Alen MacWeeney,Irish,"Irish, born 1939",1965–66,1965,1966,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282124,1951-2000,European,chimney sweep and children ireland,5,5.87
282125,"Flies in the Window, Castletown House, Ireland",Alen MacWeeney,Irish,"Irish, born 1939",1972,1972,1972,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282125,1951-2000,European,flies in the window castletown house ireland,7,5.416666666666667
282126,"Horsewoman, Ireland",Alen MacWeeney,Irish,"Irish, born 1939",1965,1965,1965,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282126,1951-2000,European,horsewoman ireland,2,5.98
282127,"The Head of Blessed Oliver Plunkett, Ireland",Alen MacWeeney,Irish,"Irish, born 1939",1965–66,1965,1966,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282127,1951-2000,European,the head of blessed oliver plunkett ireland,7,5.813333333333335
282183,Untitled,Bernard Voïta,Swiss,"Swiss, born 1960",1995,1995,1995,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282183,1951-2000,European,untitled,1,
284424,Untitled,Pierre Thoretton,French,"French, born 1967",1999,1999,1999,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284424,1951-2000,European,untitled,1,
284431,"Zoobrücke, Köln",Andreas Gursky,German,"German, born Leipzig, 1955",1988,1988,1988,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284431,1951-2000,European,zoobr cke k ln,4,
284432,"Long Island, NY, USA",Rineke Dijkstra,Dutch,"Dutch, born Sittard, 1959",1993,1993,1993,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284432,1951-2000,European,long island ny usa,4,5.91
284434,Don't Forget to Call Your Mother,Maurizio Cattelan,Italian,"Italian, born Padua, 1960",2000,2000,2000,Photographs,Photographs,Silver dye bleach print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284434,1951-2000,European,don t forget to call your mother,7,5.153333333333333
284462,Svolgere la propria pelle,Giuseppe Penone,Italian,"Italian, born 1947",1970–71,1970,1971,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284462,1951-2000,European,svolgere la propria pelle,4,5.0
